blockSize,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,54254467,40473746,38676867,39093187,38823123,40538936,39510926,39439267,40348625,39110706,40164112,39634050,39408716,39796149,40751941,40428150,39903907,40093194,39835234,40454418,
2,8774860,9494000,9238938,9334876,9865878,9574416,9674861,9398376,9537442,9601949,9659479,9449661,9484235,9485552,9387492,9592065,9483390,9380252,9681368,9266450,
4,2882257,2570407,2871943,2686950,2589972,2719918,2167182,2800787,2253363,2355934,2606779,2766339,2900870,2287538,2679277,2809150,2306094,2845938,2869528,2274443,
8,713867,728417,718709,695867,743499,713320,723640,725973,723960,709955,714481,724991,716382,690623,724763,710715,740341,710668,729915,537562,
16,192537,193637,191165,194636,196375,196191,196488,191351,203920,191116,197183,194627,193542,190412,201952,191584,203744,193115,192817,194107,
32,77075,79372,71620,78197,73460,77491,77193,74837,74010,68167,76602,82422,75340,62837,71120,76160,77984,76118,62979,75865,
64,41437,39559,38322,40375,40051,39252,40433,37263,41299,40745,40323,39603,40267,37838,36662,38940,38493,37487,38706,39986,
128,28782,26444,30888,30395,28165,30041,28548,29627,29103,30183,28263,29136,29108,29490,30356,29383,29538,27362,29482,29341,
256,25443,37716,34140,35797,36721,37880,29943,35416,36567,36153,36148,36656,35225,35523,35503,35822,35653,30838,36535,29504,
512,34288,34731,34071,35131,34823,34547,33754,34911,34907,34869,34334,34740,34504,29161,35232,27894,33940,34251,34305,34611,
1024,36729,36466,36670,37235,36757,35925,36644,36731,36659,37121,36557,36647,36813,36109,36408,36915,36474,36647,37104,36393,
2048,37085,37100,36753,37615,37981,37550,37284,37567,37411,36885,32337,28677,30654,32064,35934,36423,35259,27324,35225,31738,
4096,28470,35628,32370,32515,35024,29671,31917,34246,29007,30898,32068,31484,31553,32903,36672,36104,32573,29148,29163,29523,
